dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2016-06-01,1,0,1,0,0,0,0,0,0,0,0,0,0,2
2016-07-01,11,0,4,3,0,2,1,6,0,2,1,0,1,7
2016-08-01,39,0,7,11,0,8,4,66,4,12,86,63,3,6
2016-09-01,130,0,11,19,1,16,2,49,3,31,102,722,71,7
2016-10-01,77,0,10,10,3,7,2,53,0,18,87,382,67,5
2016-11-01,243,0,22,31,11,13,3,148,3,36,114,100,34,5
2016-12-01,196,0,13,12,2,12,3,55,3,24,93,118,28,4
2017-01-01,153,0,13,6,1,4,2,15,2,10,59,206,27,5
2017-02-01,26,0,8,6,2,2,2,17,0,5,5,73,12,3
2017-03-01,62,0,12,11,0,5,2,59,0,22,151,94,18,5
2017-04-01,90,0,11,8,1,5,2,66,1,11,71,134,26,1
2017-05-01,253,0,18,18,5,17,3,130,3,28,197,102,25,0
2017-06-01,126,0,10,6,2,4,2,40,2,9,37,75,13,1
2017-07-01,71,0,7,9,0,8,4,46,1,14,63,62,12,5
2017-08-01,38,0,7,4,0,4,3,16,1,6,35,66,20,3
2017-09-01,46,0,8,2,1,1,1,2,1,3,8,162,24,1
2017-10-01,144,0,17,5,1,3,2,43,1,7,25,103,28,1
2017-11-01,103,0,11,5,7,4,2,53,2,23,110,188,30,0
2017-12-01,65,0,12,16,13,4,3,78,1,20,90,43,5,1
2018-01-01,26,0,3,4,1,2,2,5,0,4,7,42,6,0
2018-02-01,57,0,6,9,5,4,3,13,0,10,10,44,4,3
2018-03-01,46,0,5,17,9,9,3,57,0,19,33,189,16,0
2018-04-01,90,0,10,21,4,21,4,77,0,27,51,69,19,3
2018-05-01,13,0,4,8,3,3,2,19,1,9,17,60,12,4
2018-06-01,9,0,4,6,4,3,2,11,0,7,7,38,3,2
2018-07-01,27,0,4,7,4,4,1,18,0,9,12,60,19,1
2018-08-01,1,0,1,4,4,0,0,8,0,4,4,79,13,1
2018-09-01,25,0,2,6,4,1,1,11,0,9,38,70,9,1
2018-10-01,8,0,3,11,8,3,1,31,4,15,57,67,11,0
2018-11-01,0,0,0,4,4,0,0,8,0,4,4,44,6,1
2018-12-01,34,0,3,5,5,3,1,12,0,9,20,28,5,1
2019-01-01,26,0,3,7,2,4,1,10,0,9,14,39,4,0
2019-02-01,58,0,2,6,0,7,1,10,1,9,22,51,8,0
2019-03-01,15,0,5,3,0,3,1,0,1,4,6,27,5,0
2019-04-01,0,0,0,1,0,0,0,1,0,3,10,38,3,1
2019-05-01,20,0,7,11,1,7,1,19,2,8,11,58,24,2
2019-06-01,1,0,1,2,1,1,1,9,2,3,8,37,2,0
2019-07-01,0,0,0,3,1,0,0,5,3,1,11,36,8,0
2019-08-01,5,0,1,2,1,1,1,10,0,2,5,30,4,0
2019-09-01,0,0,0,1,1,0,0,2,1,2,6,40,7,1
2019-10-01,12,0,3,6,4,2,1,11,1,7,9,32,25,0
2019-11-01,0,0,0,1,1,0,0,2,1,2,12,31,7,0
2019-12-01,2,0,2,1,0,1,1,4,2,2,9,17,2,0
2020-01-01,3,0,2,1,0,1,1,0,2,3,3,23,8,1
2020-02-01,0,0,0,1,2,0,0,8,1,2,7,27,6,0
2020-03-01,2,0,2,2,1,1,1,2,3,2,2,25,3,1
2020-04-01,2,0,2,3,1,1,1,1,2,2,1,12,2,0
